wrk_71 is done, it takes 13.000000sec
wrk_64 is done, it takes 38.000000sec
wrk_80 is done, it takes 38.000000sec
wrk_54 is done, it takes 42.000000sec
wrk_77 is done, it takes 45.000000sec
wrk_68 is done, it takes 53.000000sec
wrk_82 is done, it takes 54.000000sec
wrk_79 is done, it takes 57.000000sec
wrk_76 is done, it takes 57.000000sec
wrk_55 is done, it takes 60.000000sec
wrk_61 is done, it takes 55.000000sec
wrk_70 is done, it takes 41.000000sec
wrk_72 is done, it takes 72.000000sec
wrk_1 is done, it takes 74.000000sec
wrk_60 is done, it takes 73.000000sec
wrk_56 is done, it takes 72.000000sec
wrk_75 is done, it takes 78.000000sec
wrk_73 is done, it takes 79.000000sec
wrk_69 is done, it takes 80.000000sec
wrk_144 is done, it takes 77.000000sec
wrk_66 is done, it takes 85.000000sec
wrk_81 is done, it takes 85.000000sec
wrk_2 is done, it takes 71.000000sec
wrk_6 is done, it takes 86.000000sec
wrk_58 is done, it takes 92.000000sec
wrk_47 is done, it takes 91.000000sec
wrk_48 is done, it takes 92.000000sec
wrk_67 is done, it takes 100.000000sec
wrk_50 is done, it takes 98.000000sec
wrk_9 is done, it takes 53.000000sec
wrk_146 is done, it takes 102.000000sec
wrk_5 is done, it takes 107.000000sec
wrk_74 is done, it takes 109.000000sec
wrk_148 is done, it takes 93.000000sec
wrk_62 is done, it takes 116.000000sec
wrk_11 is done, it takes 60.000000sec
wrk_49 is done, it takes 117.000000sec
wrk_59 is done, it takes 112.000000sec
wrk_34 is done, it takes 12.000000sec
wrk_19 is done, it takes 45.000000sec
wrk_53 is done, it takes 130.000000sec
wrk_33 is done, it takes 26.000000sec
wrk_23 is done, it takes 49.000000sec
wrk_43 is done, it takes 130.000000sec
wrk_57 is done, it takes 136.000000sec
wrk_3 is done, it takes 138.000000sec
wrk_65 is done, it takes 142.000000sec
wrk_4 is done, it takes 143.000000sec
wrk_15 is done, it takes 78.000000sec
wrk_41 is done, it takes 23.000000sec
wrk_18 is done, it takes 75.000000sec
wrk_39 is done, it takes 35.000000sec
wrk_51 is done, it takes 109.000000sec
wrk_7 is done, it takes 116.000000sec
wrk_40 is done, it takes 32.000000sec
wrk_35 is done, it takes 53.000000sec
wrk_8 is done, it takes 117.000000sec
wrk_36 is done, it takes 48.000000sec
wrk_10 is done, it takes 122.000000sec
wrk_86 is done, it takes 34.000000sec
wrk_95 is done, it takes 23.000000sec
wrk_88 is done, it takes 39.000000sec
wrk_0 is done, it takes 151.000000sec
wrk_16 is done, it takes 109.000000sec
wrk_38 is done, it takes 66.000000sec
wrk_147 is done, it takes 181.000000sec
wrk_96 is done, it takes 27.000000sec
wrk_37 is done, it takes 77.000000sec
wrk_20 is done, it takes 116.000000sec
wrk_45 is done, it takes 128.000000sec
wrk_52 is done, it takes 197.000000sec
wrk_91 is done, it takes 52.000000sec
wrk_42 is done, it takes 69.000000sec
wrk_63 is done, it takes 200.000000sec
wrk_93 is done, it takes 55.000000sec
wrk_92 is done, it takes 59.000000sec
wrk_12 is done, it takes 145.000000sec
wrk_87 is done, it takes 68.000000sec
wrk_24 is done, it takes 123.000000sec
wrk_99 is done, it takes 44.000000sec
wrk_102 is done, it takes 42.000000sec
wrk_85 is done, it takes 86.000000sec
wrk_431 is done, it takes 15.000000sec
wrk_203 is done, it takes 9.000000sec
wrk_280 is done, it takes 13.000000sec
wrk_285 is done, it takes 11.000000sec
wrk_456 is done, it takes 20.000000sec
wrk_277 is done, it takes 18.000000sec
wrk_14 is done, it takes 179.000000sec
wrk_578 is done, it takes 16.000000sec
wrk_600 is done, it takes 21.000000sec
wrk_573 is done, it takes 9.000000sec
wrk_190 is done, it takes 13.000000sec
wrk_83 is done, it takes 119.000000sec
wrk_564 is done, it takes 8.000000sec
wrk_97 is done, it takes 88.000000sec
wrk_187 is done, it takes 16.000000sec
wrk_407 is done, it takes 26.000000sec
wrk_289 is done, it takes 19.000000sec
wrk_554 is done, it takes 16.000000sec
wrk_390 is done, it takes 25.000000sec
wrk_184 is done, it takes 19.000000sec
wrk_432 is done, it takes 27.000000sec
wrk_189 is done, it takes 19.000000sec
wrk_195 is done, it takes 23.000000sec
wrk_323 is done, it takes 26.000000sec
wrk_463 is done, it takes 27.000000sec
wrk_94 is done, it takes 101.000000sec
wrk_200 is done, it takes 23.000000sec
wrk_44 is done, it takes 179.000000sec
wrk_282 is done, it takes 25.000000sec
wrk_179 is done, it takes 25.000000sec
wrk_188 is done, it takes 23.000000sec
wrk_103 is done, it takes 81.000000sec
wrk_199 is done, it takes 27.000000sec
wrk_536 is done, it takes 11.000000sec
wrk_571 is done, it takes 22.000000sec
wrk_412 is done, it takes 26.000000sec
wrk_84 is done, it takes 113.000000sec
wrk_508 is done, it takes 17.000000sec
wrk_526 is done, it takes 16.000000sec
wrk_161 is done, it takes 19.000000sec
wrk_98 is done, it takes 67.000000sec
wrk_552 is done, it takes 27.000000sec
wrk_587 is done, it takes 12.000000sec
wrk_284 is done, it takes 31.000000sec
wrk_290 is done, it takes 31.000000sec
wrk_411 is done, it takes 36.000000sec
wrk_559 is done, it takes 24.000000sec
wrk_278 is done, it takes 36.000000sec
wrk_585 is done, it takes 17.000000sec
wrk_107 is done, it takes 77.000000sec
wrk_90 is done, it takes 76.000000sec
wrk_395 is done, it takes 41.000000sec
wrk_553 is done, it takes 32.000000sec
wrk_569 is done, it takes 31.000000sec
wrk_21 is done, it takes 183.000000sec
wrk_215 is done, it takes 11.000000sec
wrk_557 is done, it takes 29.000000sec
wrk_279 is done, it takes 39.000000sec
wrk_157 is done, it takes 44.000000sec
wrk_159 is done, it takes 45.000000sec
wrk_13 is done, it takes 206.000000sec
wrk_389 is done, it takes 45.000000sec
wrk_292 is done, it takes 37.000000sec
wrk_110 is done, it takes 65.000000sec
wrk_466 is done, it takes 45.000000sec
wrk_370 is done, it takes 46.000000sec
wrk_368 is done, it takes 46.000000sec
wrk_208 is done, it takes 38.000000sec
wrk_586 is done, it takes 24.000000sec
wrk_380 is done, it takes 44.000000sec
wrk_580 is done, it takes 42.000000sec
wrk_429 is done, it takes 45.000000sec
wrk_295 is done, it takes 41.000000sec
wrk_379 is done, it takes 51.000000sec
wrk_562 is done, it takes 33.000000sec
wrk_286 is done, it takes 44.000000sec
wrk_117 is done, it takes 60.000000sec
wrk_376 is done, it takes 47.000000sec
wrk_519 is done, it takes 27.000000sec
wrk_507 is done, it takes 33.000000sec
wrk_515 is done, it takes 28.000000sec
wrk_457 is done, it takes 52.000000sec
wrk_163 is done, it takes 35.000000sec
wrk_373 is done, it takes 52.000000sec
wrk_594 is done, it takes 24.000000sec
wrk_116 is done, it takes 62.000000sec
wrk_451 is done, it takes 54.000000sec
wrk_514 is done, it takes 31.000000sec
wrk_520 is done, it takes 30.000000sec
wrk_145 is done, it takes 273.000000sec
wrk_454 is done, it takes 54.000000sec
wrk_523 is done, it takes 39.000000sec
wrk_369 is done, it takes 54.000000sec
wrk_401 is done, it takes 53.000000sec
wrk_398 is done, it takes 42.000000sec
wrk_375 is done, it takes 51.000000sec
wrk_529 is done, it takes 34.000000sec
wrk_433 is done, it takes 55.000000sec
wrk_434 is done, it takes 53.000000sec
wrk_367 is done, it takes 47.000000sec
wrk_22 is done, it takes 196.000000sec
wrk_211 is done, it takes 27.000000sec
wrk_558 is done, it takes 45.000000sec
wrk_378 is done, it takes 58.000000sec
wrk_287 is done, it takes 52.000000sec
wrk_142 is done, it takes 52.000000sec
wrk_176 is done, it takes 39.000000sec
wrk_465 is done, it takes 60.000000sec
wrk_565 is done, it takes 43.000000sec
wrk_462 is done, it takes 59.000000sec
wrk_533 is done, it takes 37.000000sec
wrk_425 is done, it takes 59.000000sec
wrk_288 is done, it takes 54.000000sec
wrk_402 is done, it takes 57.000000sec
wrk_355 is done, it takes 36.000000sec
wrk_108 is done, it takes 83.000000sec
wrk_572 is done, it takes 48.000000sec
wrk_583 is done, it takes 52.000000sec
wrk_135 is done, it takes 61.000000sec
wrk_596 is done, it takes 32.000000sec
wrk_455 is done, it takes 62.000000sec
wrk_579 is done, it takes 57.000000sec
wrk_560 is done, it takes 48.000000sec
